slug,keyword,branch,parent,order
douche-1-euro,douche 1 euro,salle-de-bain,salle-de-bain,1
table-basse-japonaise-kotatsu,table basse japonaise kotatsu,decoration,decoration,2
combien-de-temps-avant-dutiliser-le-matelas-emma,combien de temps avant dutiliser le matelas emma,decoration,decoration,3
fabriquer-un-bureau-avec-des-caissons,fabriquer un bureau avec des caissons,decoration,decoration,4
salons-modernes-et-elegants-2026,salons modernes et elegants 2026,decoration,decoration,5
cuisine-haut-gamme-77-ai-concept,cuisine haut gamme 77 ai concept,cuisine,cuisine,6
comment-realiser-des-fleurs-en-tissu-ou-en-papier-etape-par-etape,comment realiser des fleurs en tissu ou en papier etape par etape,decoration,decoration,7
maison-container,maison container,decoration,decoration,8
decorer-une-chambre-dans-un-style-jungle,decorer une chambre dans un style jungle,chambre,chambre,9
baignoire-scandinave,baignoire scandinave,salle-de-bain,salle-de-bain,10
